question, answer
什麼是ACP（預立醫療照護諮商）與AD（預立醫療決定）？,ACP 是與醫療團隊與家屬共同討論的溝通過程，AD是意願人書面文件簽署後，在健保卡上註記的醫療意願。
任何人都可以進行「預立醫療照護諮商」及「預立醫療決定書」嗎？,只要18歲以上具有完全行為能力者皆可參與，並完成健保卡註記即具法律效力。
我是不是不能簽？我聽說有慢性病、重大傷病或癌症不能簽？,只要您年滿18歲且具完全行為能力，不論是否有疾病都可以簽署預立醫療決定。反而如果您本身有疾病，也對於未來的醫療照護想法，越早進行預立討論越能保障您的意願。
我只是想了解一下，不代表我要做決定，這樣可以嗎？,當然可以。預立醫療照護諮商是一個探索與了解的過程，並不一定要當場簽署。與專業人員談一談，對您或家人都是很有幫助的準備。同時諮商後，也能把AD帶回家思考與填寫，但請記得要把AD帶回本院上傳與註記。
「預立醫療照護諮商」時會討論些什麼內容？,病主法保障權利、五種臨床情境、醫療選項與風險、醫療偏好與程序等，以及透過諮商，來促進意願人與親友在醫療照護想法上的共識凝聚。
我在你們醫院簽過安寧還要再簽預立醫療決定嗎？,因為保障範圍與適用法規不同，安寧意願書只適用於末期病人。您可以與家屬或代理人一起參與「預立醫療照護諮商」後再決定。
請問「預立醫療決定（AD）」就是放棄醫療嗎？ 跟之前的DNR、安寧緩和醫療意願書有什麼不同？,這些都不是放棄醫療，而是針對特定臨床條件下，表達拒絕延長生命措施的意願。
「預立醫療決定」跟安樂死有什麼不同？,安樂死或協助自殺是主動縮短生命，這兩者皆不合法，而病主法是回歸自然歷程，提供緩和醫療照護，減少不適。
預立醫療決定簽的內容跟之前我去簽安寧意願書有什麼不一樣?,因為保障範圍跟適用法規的不同，安寧意願書只有適用於末期病人的部分，若像是極重度失智、永久植物人，還是得長期臥床照顧到最後才適用安寧，所以您可以先邀請二親等內家屬或醫療委任代理人一起來參與「預立醫療照護諮商」，再做決定。
預立醫療決定也是跟安寧一樣到末期才會生效嗎?,並不會哦，只有在上述五款「特定臨床條件」之外，您的預立醫療決定才會被啟動與執行，在那之前，醫師都還是依照醫療常規進行必要之急救措施，不得無故拖延。而是否符合這五款的條件，還須經過兩位專科醫師及至少二次緩和醫療團隊照會評估方可執行，所以啟動程序是非常嚴謹的，請您放心。關於五款「特定臨床條件」介紹，可以參考本院官網 https://tpech.gov.taipei/News_Content.aspx?n=2C8726B15FF9714D&sms=6A80DD614501A2AA&s=5CA0A27ABD1FD93C
在一般的醫療情況，當你無法決定治療意願時，是按照醫療法所提到的順位來代理你的決定。那這個預立醫療決定也是這樣嗎?我可以找其他人嗎?,意願人委任醫療委任代理人二人以上者，可以依照病人自主權利法第十條第三項第三款預立醫療決定所定權限，自己決定排定順位；當未來您(意願人/病人)昏迷或意思不清時，有先順位之醫療委任代理人有優先代理權，如先順位者不為意思表示或無法聯繫時，則由後順位者行使之。同時請留意，後順位者已為意思表示後，先順位者不得提出不同意思表示，也就是說，此時先順位者要遵照後順位者的安排。
如果我的醫療委任代理人比我早死，這該怎麼辦?,若醫療委任代理人亡故，建議更新預立醫療決定，重新指定新的代理人，並完成IC卡註記；或是就先指定多位代理人。
簽署預立醫療決定時要找家屬來，但問題是有時候我平常就一個人獨自生活、找不到家屬、或是家庭因分財產原因關係不好，這時候又要找家屬來該怎麼辦?,如經本院評估您確實無二親等或與二親等關係疏離等特殊事由，仍可做諮商，但會在諮商當天請您另外填具無二親等聲明書，敍明二親等無法出席之事由。但預立醫療照護諮商的意義，有部分是希望協助您的家屬了解並尊重您的意願及決定，所以還是希望盡可能的邀請他們一起參加。
如果是獨居的老人，我可以找朋友來當醫療委任代理人或是見證人嗎?,可以。原則上您可指定18歲以上之人，成為您的醫療委任代理人，但若您的朋友是受遺贈人、遺體或器官指定之受贈人，以及其他因您死亡而獲得利益時，不得為醫療委任代理人。您當然可以指定您的朋友為醫療委任代理人。但注意醫療委任代理人不得作為見證人。
預立醫療決定的內容是可以隨時更動的嗎?,可以隨時撤回或變更AD，如果改變決定，須向醫療機構提出變更，並再次註記在健保卡。
我如果要捐器官，是想捐就能捐嗎?,若您有器官捐贈意願，可以簽署器捐同意書由醫院協助將您的意願註記在健保卡。但未來是否能成功器捐，則需由器捐移植小組的醫療人員評估您當下的身體狀況是否符合捐贈，以及也需要家人的同意。
如果我選擇不要人工營養或是鼻胃管，這樣不是會餓死嗎?,在特定臨床條件下，選擇不施行人工營養是尊重個人意願，但仍可以給予手工餵食餵水(例如用湯匙進食、或用梅花棒沾溼臨終病人嘴唇保持濕潤，並會同步提供舒適照護與止痛治療，避免痛苦。 詳細內容且參閱： https://hpcod.mohw.gov.tw/hospWeb/download_doc/%E6%9C%AB%E6%9C%9F%E7%97%85%E4%BA%BA%E7%85%A7%E8%AD%B7%E6%89%8B%E5%86%8A.pdf
如果在五種特定臨床條件下，除了可以選擇不要維持生命治療、人工營養外，痛的話可以給我們什麼東西呢?,會提供適當的緩和醫療及止痛藥物，不會讓您在痛苦中度過。
如果我來參加「預立醫療照護諮商」一定要簽署「預立醫療決定(AD)」嗎？,來參加ACP不一定需要當下簽署預立醫療決定書，不需要有壓力。但是經過這樣自己跟親友一起思考、探索生命議題的過程很有意義。
聽說還要找見證人，所以我要找到見證人一起去你們醫院嗎？,不一定，本法規定在預立醫療決定書上簽名時有二名以上具完全行為能力人在場見證或經公證人公證即可。亦即來院完成預立醫療照護諮商後，可以將預立療決定書帶回家找人見證或公證。完成後，在請您攜帶決定書正本與相關資料回願上傳註記。另請注意，您的醫療委任代理人是無法做見證人的。
精神障礙者可以做ACP嗎?,須由醫師評估其是否具備完全行為能力與自主決策能力，若能表達意願即可參加。
我的家人都在國外，但他們很想參加，可不可以用視訊方式參加?但如果他無法及時簽名還可以當見證人嗎?,若能清楚說明事由，二親等無法到場仍可進行ACP，但是也建議國外的二親等透過視訊一起參與諮商，了解您的想法與決定；見證人必須親簽，無法透過視訊完成簽署。
家人現在已經生病、意識不清，我可以幫他簽署「預立醫療決定」嗎？,不行，當病人意識昏迷或無法表達意願時，AD為尊重病人自主決定的精神，因此必須在只有本人能表達意見時才可簽署。
"我的家屬已經中風了,現在在養護中心可以簽署「預立醫療決定」嗎?",原則上只要您的家屬意識清楚且可以表達意願，在沒有心智缺陷或非出於自願的疑慮下，需邀請二親等家屬及醫療委任代理人（若無醫療委任代理人則二親等家屬即可），共同參與預立醫療照護諮商及簽署預立醫療決定書。
"我的家屬現在失智,可以帶她可進行「預立醫療照護諮商」嗎?",失智症視嚴重程度有不同分期，早期失智的病人若經預立醫療照護諮商團隊評估仍具有心智能力可進行醫療決定的討論，則可依法定程序進行預立醫療照護諮商。
