question, answer
甚麼是病人自主權利法？,《病人自主權利法》是我國第一部以病人為主體的醫療法規，也是全亞洲第一部完整地保障病人自主權利的專法。強調病情告知本人、意願人具有選擇與決定權。(知情、選擇的情境包含一般就醫、健康檢查、執行手術的情況)。
病人自主權利法何時開始施行？,《病人自主權利法》於2019年1月6日正式上路
如何確實實施病人自主權利法？,透過填寫預立醫療決定書，保障未來處於五款臨床條件時得以自主選擇醫療的機會，進而規劃自己的善終安排。
病人自主權利法和安寧緩和醫療有何不同？,安寧緩和醫療條例是保障「末期病人」在末期階段時，可以透過預立安寧緩和醫療暨維生醫療抉擇意願書(俗稱DNR或放棄急救書)去選擇「拒絕維生醫療、心肺復甦術(CPR)」等的權利
病人自主權利法的重點？,病人知情權、選擇權、決定權
關於病人知情權有哪些相關資訊？,知情權:病主法保障您(意願人)在知情、醫療選項及個選項之可能成效與風險預後，有知情的權利。
關於病人選擇權有哪些相關資訊？,選擇權/決定權:對於醫生提供知醫療選項有選擇與決定之權利，且其他人不得妨礙。
關於病人決定權有哪些相關資訊？,選擇權/決定權:對於醫生提供知醫療選項有選擇與決定之權利，且其他人不得妨礙。
病人自主權利法的例外情況？,若病人是限制行為能力人、受輔助宣告，或意思表示能力顯有不足者，在行使選擇權或決定權時，除病人同意手術或中央主管機關規定之侵入性檢查獲治療外，亦應經關係人同意
病人自主權利法的目的？,希望每個人都知道自己發生什麼事情並好好掌握自己的狀況，希望身體是自己的，生了甚麼病，應該也是自己先知道，然後再來想想如何做決定
預立醫療決定書是甚麼？,做為這部法律的輔助設計，它是一份事先簽署、自主選擇、保障您未來在5款臨床條件下可以選擇醫療安排措施的文件。
五款臨床條件是甚麼？,1.末期病人2.不可逆轉昏迷 3.永久植物人之狀況 4.極重度失智 5.其他經政府公告之重症(備註：第5種「其他政府公告之重症」目前由衛福部政府公告，有12種，多為罕見疾病。)
預立醫療決定書決定了甚麼？,可選擇想要或不要的兩種醫療措施(透過選擇醫療的措施，進一步保障病人自身權益，甚至達到不加工延長生命，得以獲得能尊嚴離開的善終機會!)
預立醫療決定書的兩種醫療措施是甚麼？,維持生命治療、人工營養及流體餵養
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
